no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;combined_notes;note_length;unique_words;cluster
27;Van Cleef & Arpels;First;170.95;170.95;100;edt;Women;floral;honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver;carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus;5.0;noon;4.02;98.1K;floral honey sandalwood tonka bean amber musk civet vanilla oakmoss vetiver carnation tuberose orchid orris root jasmine hiacynth turkish rose ylangylang lilyofthevalley narcissus edt;183;24;2
28;NARCISO RODRIGUEZ;Narciso Rodriguez;465;226.0;100;edp;Women;musk;patchouli sandalwood;amber musk;4.0;Brand Land;4.02;98;musk patchouli sandalwood amber musk edp;40;5;0
30;Estee Lauder;Knowing;585;220.0;75;edp;Women;woody;oakmoss vetiver sandalwood amber;jasmine patchouli orange flower;5.0;KAYA;4.03;4K;woody oakmoss vetiver sandalwood amber jasmine patchouli orange flower edp;74;10;1
31;Geoffrey Beene;Grey Flannel For Men;361;79.0;120;edt;Men;woody;tonka bean almond oakmoss vetiver cedar;mimose iris violet sage rose geranium narcissus;5.0;top langri;3.07;347;woody tonka bean almond oakmoss vetiver cedar mimose iris violet sage rose geranium narcissus edt;97;15;1
33;Rasasi;Al Wisam Day;177;76.0;100;edp;Men;oriental;oak moss rich musty oud;amber nuanced clary sage soft milky sandalwood woody cedarwood;4.03;hadayiq baris;3.08;122;oriental oak moss rich musty oud amber nuanced clary sage soft milky sandalwood woody cedarwood edp;99;16;1
34;Mancera;Black Vanilla;588;296.0;120;edp;Unisex;woody;vanilla pods madagascar white musk;delicate bulgarian rose violet jasmine;3.0;MAKE UP;3.08;71;woody vanilla pods madagascar white musk delicate bulgarian rose violet jasmine edp;83;12;1
37;BURBERRY;Brit Rhythm Intense;370;136.65;90;edt;Men;spicy;cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla;amberbasillavendermintpatchouli;4.06;noon;4.02;98.1K;spicy cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla amberbasillavendermintpatchouli edt;109;7;1
40;AIGNER;Starlight;341;126.95;100;edp;Women;floral;patchouli sandalwood vanilla white musk;cumin jasmine strawberries;5.0;noon;4.02;98.1K;floral patchouli sandalwood vanilla white musk cumin jasmine strawberries edp;77;10;1
41;BENTLEY;Azure;387;107.0;100;edt;Men;citrus;cashmere wood tonka bean orcanox;pimento tea accord lavender clary sage;4.06;Cute Shop;4.01;538;citrus cashmere wood tonka bean orcanox pimento tea accord lavender clary sage edt;82;13;1
42;VERSACE;Dylan Blue;85;20.05;5;edt;Men;citrus;frankincense musk saffron tonka beans;ambroxan black pepper papyrus patchouli violet leaves;4.04;Princess of beauty;4.02;467;citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves edt;102;14;1
44;Yves Saint Laurent;La Nuit De L'Homme L'Intense;583;204.0;100;edp;Men;vanilla;tonka bean patchouli;vanilla sage;5.0;Parfume-Stor;4.01;319;vanilla tonka bean patchouli vanilla sage edp;45;6;0
46;Laura Mars;Splandid;36;36.0;100;edp;Women;floral;vanilla amber;jasmine geranium neroli ylangylan;5.0;hadayiq baris;3.08;122;floral vanilla amber jasmine geranium neroli ylangylan edp;58;8;0
47;GIORGIO ARMANI;Stronger With You;415;170.0;100;edt;Men;vanilla;vanilla chestnut cedar amber wood guaiac wood;pineapple sage melon cinnamon lavender;4.05;hadayiq baris;3.08;122;vanilla vanilla chestnut cedar amber wood guaiac wood pineapple sage melon cinnamon lavender edt;96;12;1
48;CHLOE;Chloe;631;186.0;75;edp;Women;floral;cedar amber;magnolia lilyofthevalley rose;3.05;عالم المشاهير;3.05;75;floral cedar amber magnolia lilyofthevalley rose edp;52;7;0
49;HERMES;Terre D'Hermes;15;9.55;2;edt;Men;citrus;patchouli cedar vetiver benzoin;pepper pelargonium;5.0;beautiful lady;3.08;23;citrus patchouli cedar vetiver benzoin pepper pelargonium edt;61;8;0
51;VERSACE;Dylan Blue;425;217.85;100;edt;Men;fresh;incense musk tonka bean saffron;ambroxan patchouli black pepper violet leaf papyrus;4.06;noon;4.02;98.1K;fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus edt;93;14;1
53;PACO RABANNE;Invictus;395;210.0;100;edt;Men;citrus;guaiac wood patchouli heart;ambregris accord grapefruit zests;4.08;Boutique Wareef;3.08;98;citrus guaiac wood patchouli heart ambregris accord grapefruit zests edt;72;10;1
55;DORALL COLLECTION;Scholar;19;9.45;100;edt;Men;floral;patchouli moss woodyamber sandalwood musk dry woods;jasmine peach apple green notes lavender muguet dried fruits;5.0;B.A.G;3.07;14.1K;floral patchouli moss woodyamber sandalwood musk dry woods jasmine peach apple green notes lavender muguet dried fruits edt;123;18;2
56;Calvin Klein;Eternity;131;100.0;100;edt;Men;floral;sandalwood amber musk vetiver brazilian rosewood;coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium;4.0;hadayiq baris;3.08;122;floral sandalwood amber musk vetiver brazilian rosewood coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium edt;149;19;2
58;PACO RABANNE;Lady Million;535;210.0;80;edp;Women;floral;gardenia;arabic jasmine african orange flower;4.07;Beauty Ideas;3.09;61;floral gardenia arabic jasmine african orange flower edp;56;8;0
59;Giorgio Beverly Hills;giorgio;120;120.0;90;edt;Women;floral;sandalwood patchouli vanilla amber cedar oakmoss musk;ylangylang seductive tuberose gardenia jasmine rose orchid;5.0;Faces;3.09;61;floral sandalwood patchouli vanilla amber cedar oakmoss musk ylangylang seductive tuberose gardenia jasmine rose orchid edt;123;16;2
60;Guerlain;Idylle;430;256.0;100;edp;Women;floral;amber accord sandalwood;magnolia jasmine ylang ylang;4.03;MOON LIGHT;3.09;33;floral amber accord sandalwood magnolia jasmine ylang ylang edp;63;8;0
61;Yves Saint Laurent;Libre;655;410.0;90;edp;Women;floral;amber vanilla ambergris musk;orange blossom jasmine lavender;4.09;Parfume-Stor;4.02;25;floral amber vanilla ambergris musk orange blossom jasmine lavender edp;71;10;1
62;Jean Paul GAULTIER;Scandal;400;288.0;50;edp;Women;floral;patchouli beeswax caramel licorice;honey gardenia jasmine orange blossom peach;5.0;Shopping life;4.02;20;floral patchouli beeswax caramel licorice honey gardenia jasmine orange blossom peach edp;89;12;1
63;BURBERRY;Mr. Burberry;515;179.95;100;edp;Men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;4.05;noon;4.02;98.1K;woody patchouli amber sandalwood vetiver benzoin cinnamon lavender cedar nutmeg edp;83;11;1
64;Ajmal;Raindrops;97;47.95;50;edp;Women;fruity;floral ambery woody;animalistic floral;4.07;noon;4.02;98.1K;fruity floral ambery woody animalistic floral edp;49;6;0
66;BURBERRY;Mr. Burberry;295;200.0;100;edp;Men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;5.0;Star.perfume;3.09;537;woody patchouli amber sandalwood vetiver benzoin cinnamon lavender cedar nutmeg edp;83;11;1
67;VERSACE;Dylan Blue;85;20.05;5;edt;Men;citrus;frankincense musk saffron tonka beans;ambroxan black pepper papyrus patchouli violet leaves;4.04;Princess of beauty;3.05;467;citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves edt;102;14;1
69;UNITED COLORS OF BENETTON;Cold;51;27.95;100;edt;Women;spicy;amber frankincense musk patchouli vanilla vetiver;coriander cumin pimiento;4.0;top langri;4.02;347;spicy amber frankincense musk patchouli vanilla vetiver coriander cumin pimiento edt;84;11;1
70;YSL;Supreme Bouquet;1215;699.0;75;edp;Unisex;woody;amber musk patchouli;tuberose jasmine ylangylang;5.0;PARFUM.1990;3.05;244;woody amber musk patchouli tuberose jasmine ylangylang edp;58;8;0
71;TOMMY HILFIGER;Tommy;340;129.0;100;edt;Men;spicy;amber cactus cotton;cranberry rose apple;4.04;AMLAQ;3.09;135;spicy amber cactus cotton cranberry rose apple edt;50;8;0
72;RALPH LAUREN;Safari;541;178.0;125;edt;Men;woody;leather sandalwood amber patchouli musk oakmoss cedar;cyclamen carnation cinnamon tarragon jasmine rose;3.05;Pinch Of Perfum;3.05;75;woody leather sandalwood amber patchouli musk oakmoss cedar cyclamen carnation cinnamon tarragon jasmine rose edt;113;15;1
73;EMPORIO ARMANI;Stronger With You;415;175.85;100;edt;Men;floral;amberwood cedar chestnut vanilla;melon pineapple sage;4.05;flower;3.08;66;floral amberwood cedar chestnut vanilla melon pineapple sage edt;64;9;0
74;TED LAPIDUS;Rumba Passion Ted Lapidus;140;95.0;100;edt;Women;floral;patchouli vanilla honey;jasmine rose;5.0;Beauty Gallery;3.07;59;floral patchouli vanilla honey jasmine rose edt;47;7;0
75;HUGO BOSS;Dark Blue;159;129.0;75;edt;Men;citrus;benzoin olibanum patchouli suede;pelargonium cypress sage;4.05;Diorworld;3.06;30;citrus benzoin olibanum patchouli suede pelargonium cypress sage edt;68;9;0
76;VERSACE;Dylan Blue;425;217.85;100;edt;Men;fresh;incense musk tonka bean saffron;ambroxan patchouli black pepper violet leaf papyrus;4.06;noon;4.02;98.1K;fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus edt;93;14;1
77;BOUCHERON;Quatre;462;169.75;100;edp;Women;floral;caramel cashmere vanilla white musk;apple jasmine fishing rose;4.09;noon;4.02;98.1K;floral caramel cashmere vanilla white musk apple jasmine fishing rose edp;73;11;1
78;DORALL COLLECTION;Molto Carina;27;8.55;100;edt;Women;woody;musk lactone woody amber;tropical fruits peach jasmin water;4.0;B.A.G;3.07;14.1K;woody musk lactone woody amber tropical fruits peach jasmin water edt;69;10;0
79;armani;Stronger With You Intensely;457;336.0;100;edp;Men;sweet aromatic;ambery woods;vanilla;4.08;flower;3.09;537;sweet aromatic ambery woods vanilla edp;39;6;0
80;PACO RABANNE;1 Million;395;173.0;100;edt;Men;woody;indian patchouli amber woody notes leather;rose absolute musk cinnamon bark;3.08;Al-Najm;3.07;347;woody indian patchouli amber woody notes leather rose absolute musk cinnamon bark edt;85;12;1
81;VALENTINO;Valentina;500;241.0;80;edp;Women;floral;virginia cedarvanillaamber;strawberrytuberoseafrican orange flowerjasmine;5.0;top langri;3.07;347;floral virginia cedarvanillaamber strawberrytuberoseafrican orange flowerjasmine edp;84;7;1
82;Ard Al Zaafaran;Oud 24 Hours;47;47.0;100;edp;Unisex;fresh;amber incense sandalwood patchouli agarwood oud;spicy notes fruity notes jasmine gardenia ylangylang;4.0;Attractive perfume;3.05;244;fresh amber incense sandalwood patchouli agarwood oud spicy notes fruity notes jasmine gardenia ylangylang edp;110;14;1
87;Guerlain;Ideal;560;223.0;100;edp;Men;fruity;leather sandalwood tonka beans;bulgarian rose cherry incense vanilla;4.08;Majestueuse;4.08;21;fruity leather sandalwood tonka beans bulgarian rose cherry incense vanilla edp;79;11;1
89;ELIE SAAB;Girl of Now Shine;504;192.0;90;edp;Women;arabian;iris jasmine sweet vanilla patchouli;roasted almonds ylangylang;5.0;flower;4.02;98;arabian iris jasmine sweet vanilla patchouli roasted almonds ylangylang edp;75;10;1
90;NARCISO RODRIGUEZ;Narciso Rodriguez;436;215.75;50;edp;Women;spicy;patchouli sandalwood;amber musk;4.03;noon;4.02;98.1K;spicy patchouli sandalwood amber musk edp;41;6;0
91;Ajmal;Raindrops;97;47.95;50;edp;Women;fruity;floral ambery woody;animalistic floral;4.07;noon;4.02;98.1K;fruity floral ambery woody animalistic floral edp;49;6;0
92;Roberto Cavalli;Uomo;349;126.0;100;edt;Men;floral;cedar;honey lavender;5.0;noon;4.02;98.1K;floral cedar honey lavender edt;31;5;0
93;MONTBLANC;Emblem Absolu;395;116.0;100;edt;Men;spicy;patchouli vetiver moss;pink pepper lavender fruits honey;4.07;Modon;3.09;537;spicy patchouli vetiver moss pink pepper lavender fruits honey edt;66;10;0
94;LACOSTE;Eau de Lacoste L. 12.12 Noir;330;85.0;100;edt;Men;spicy;dark chocolate cashmeran coumarin patchouli;basil verbena lavender;4.08;Al-Najm;3.07;347;spicy dark chocolate cashmeran coumarin patchouli basil verbena lavender edt;76;10;1
99;LE CHAMEAU;Genesis Oud Malaki;73;73.0;100;edt;Unisex;arabian;musk vetiver;agarwood apple patchouli amber;2.0;Queen Line;3.08;81;arabian musk vetiver agarwood apple patchouli amber edt;55;8;0
100;AVON;Tomorrow;130;70.0;50;edp;Women;floral;powdery floral woody balsamic rose;musk;4.05;Tiffany;3.07;54;floral powdery floral woody balsamic rose musk edp;50;7;0
101;PACO RABANNE;Invictus;395;210.0;100;edt;Men;citrus;guaiac wood patchouli heart;ambregris accord grapefruit zests;4.08;Boutique Wareef;3.08;98;citrus guaiac wood patchouli heart ambregris accord grapefruit zests edt;72;10;1
104;DORALL COLLECTION;Nashwa;43;14.02;100;edt;Women;woody;amber patchouli vanilla musk sandalwood;magnolia gardenia lily of valley freesia jasmine;5.0;B.A.G;3.07;14.1K;woody amber patchouli vanilla musk sandalwood magnolia gardenia lily of valley freesia jasmine edt;98;14;1
106;HUGO BOSS;XX;295;158.65;100;edt;Women;fruity;amber musk sandalwood;jasmine rice rose;4.05;Star.perfume;3.09;537;fruity amber musk sandalwood jasmine rice rose edt;50;8;0
108;Dunhill;Desire;230;84.95;100;edt;Men;fresh;vanilla musk labdanum;rose teakwood patchouli;4.02;hadayiq baris;3.08;122;fresh vanilla musk labdanum rose teakwood patchouli edt;55;8;0
109;Dior;Sauvage;1176;240.85;100;edt;Men;fresh;cedar labdanum ambroxan;geranium lavender sichuan pepper elemi pink pepper vetiver patchouli;3.08;ثروة الجمال;3.09;61;fresh cedar labdanum ambroxan geranium lavender sichuan pepper elemi pink pepper vetiver patchouli edt;102;13;1
110;TRUSSARDI;My Land;300;164.0;100;edt;Men;woody;leather vetiver tonka bean;lavender violet calone;4.05;Beautiful Live;412.0;7;woody leather vetiver tonka bean lavender violet calone edt;59;9;0
111;Dupont;Passenger;95;95.0;100;edt;Men;woody;guaiac wood benzoin;ginger cardamom pink pepper lavender;4.05;Beautiful Live;412.0;7;woody guaiac wood benzoin ginger cardamom pink pepper lavender edt;66;10;0
112;ANGEL SCHLESSER;Essential;287;103.95;100;edp;Women;oriental;sandal wood musk vetiver;peony violet freesia bulgarian rose;4.06;noon;4.02;98.1K;oriental sandal wood musk vetiver peony violet freesia bulgarian rose edp;73;11;1
113;Calvin Klein;Euphoria;220;91.95;100;edt;Men;woody;amber patchouli brazilian redwood suede;black basil sage cedar;5.0;noon;4.02;98.1K;woody amber patchouli brazilian redwood suede black basil sage cedar edt;72;11;1
116;DORALL COLLECTION;Classic Black;9;8.08;100;edt;Men;fresh;chocolatecashmere wood patchouli tonka bean;basil verbena lavender;4.0;the beauty;3.09;538;fresh chocolatecashmere wood patchouli tonka bean basil verbena lavender edt;76;10;1
122;CHOPARD;Wish;182;96.0;75;edp;Women;oriental;patchouli caramel amber sandalwood vanilla;honey milk lily of valley orchid violet jasmine heliotrope osmanthus magnolia;4.08;Dior Fragrances;3.09;69;oriental patchouli caramel amber sandalwood vanilla honey milk lily of valley orchid violet jasmine heliotrope osmanthus magnolia edp;133;18;2
123;PACO RABANNE;Olympêa;455;150.0;80;edp;Women;floral;sandalwood cashmere ambergris;vanilla;4.05;Asrar Aljamal;3.08;61;floral sandalwood cashmere ambergris vanilla edp;48;6;0
126;PACO RABANNE;Olympea;458;134.0;80;edp;Women;floral;cashmere sandalwood ambergris;salted vanilla;4.0;Number One;4.02;1.3K;floral cashmere sandalwood ambergris salted vanilla edp;55;7;0
127;jennifer lopez;Live;161;104.0;100;edp;Women;fruity;tonka bean sensual rich creamy buttery lactonic caramel;uity red currant blossoms violet;5.0;Star.perfume;3.09;537;fruity tonka bean sensual rich creamy buttery lactonic caramel uity red currant blossoms violet edp;99;15;1
129;LACOSTE;Eau de Lacoste L. 12.12 Noir;330;85.0;100;edt;Men;spicy;dark chocolate cashmeran coumarin patchouli;basil verbena lavender;4.08;Al-Najm;3.07;347;spicy dark chocolate cashmeran coumarin patchouli basil verbena lavender edt;76;10;1
130;Calvin Klein;Euphoria Intense;440;99.0;100;edt;Men;spicy;cashmere woods madagascar vanilla burnt amber australian sandalwood;black basil sage cedar vetiver;4.02;Al-Najm;3.07;347;spicy cashmere woods madagascar vanilla burnt amber australian sandalwood black basil sage cedar vetiver edt;108;15;1
133;BVLGARI;Petits Et Mamans;327;197.75;100;edt;Women;floral;iris vanilla;white peach;4.08;Tiffany;4.02;75;floral iris vanilla white peach edt;35;6;0
135;TRUSSARDI;My Name;308;228.0;50;edp;Women;floral;dry amber vanilla;lilac musk;4.06;Beautiful Live;4.02;7;floral dry amber vanilla lilac musk edp;39;7;0
137;Calvin Klein;Intense Euphoria;290;109.95;100;edt;Men;spicy;labdanum amber patchouli agarwood myrrh;black basil sage cedar vetiver;4.04;noon;4.02;98.1K;spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver edt;80;12;1
139;HERMES;Terre D' Hermes;474;173.0;100;edt;Men;citrus;woody notes patchouli cedar;geranium;3.09;Boutique Wareef;4.02;98.1K;citrus woody notes patchouli cedar geranium edt;47;7;0
143;Roberto Cavalli;Women;430;103.0;75;edp;Women;arabian;benzointonka beansvanilla;orange tree blossom;5.0;rich&light;3.08;69;arabian benzointonka beansvanilla orange tree blossom edp;57;7;0
144;LALIQUE;Lalique;541;249.0;100;edp;Women;woody;white musksandalwoodvanilla;blackberrycassispear;4.04;Faces;3.09;61;woody white musksandalwoodvanilla blackberrycassispear edp;58;5;0
145;Franck Olivier;Oud Touch;93;93.0;100;edp;Men;woody;amber musk vanilla;violet patchouli rose jasmine olibanum;5.0;Faces;3.09;61;woody amber musk vanilla violet patchouli rose jasmine olibanum edp;67;10;0
146;TOMMY HILFIGER;Tommy;340;130.0;100;edt;Men;spicy;amber cactus cotton plant blossom;apple cranberries rose;5.0;Faces;3.09;61;spicy amber cactus cotton plant blossom apple cranberries rose edt;66;10;0
147;Elizabeth Arden;5th Avenue;155;93.0;75;edp;Women;floral;amber tibetan musk sandalwood iris vanilla;bulgarian pink violet ylangylang jasmine indian tuberose peach carnation nutmeg;4.0;Ryhana Perfume;4.02;25;floral amber tibetan musk sandalwood iris vanilla bulgarian pink violet ylangylang jasmine indian tuberose peach carnation nutmeg edp;133;18;2
148;ELIE SAAB;Girl Of Now;561;250.0;90;edp;Women;floral;patchoulicashmerantonka bean almod milk;orange blossommagnolialmond;4.05;Beuatyone1;3.05;98;floral patchoulicashmerantonka bean almod milk orange blossommagnolialmond edp;78;8;1
149;PACO RABANNE;One Million;426;287.95;200;edt;Men;woody;blonde leather patchouli white woods amber;rose absolute cinnamon spices;5.0;noon100  % original genuine product;4.02;98.1K;woody blonde leather patchouli white woods amber rose absolute cinnamon spices edt;82;12;1
151;cacharel;Noa;299;154.75;100;edt;Women;fresh;woodsy transparent coffee incense touches;white flowers ylangylang rose;4.05;Star.perfume;3.09;537;fresh woodsy transparent coffee incense touches white flowers ylangylang rose edt;81;11;1
152;GUESS;Seductive Homme;134;91.75;100;edt;Men;spicy;musk sandalwood patchouli amber;vetiver violet leaf orchid;4.05;Star.perfume;3.09;537;spicy musk sandalwood patchouli amber vetiver violet leaf orchid edt;68;10;0
153;Al Fakhr;Ameer Al Oud Khususi;28;12.0;100;edp;Unisex;woody sweet;sandalwood cedarwood;black pepper cardamom;4.01;kikup;3.09;425;woody sweet sandalwood cedarwood black pepper cardamom edp;58;8;0
155;Givenchy;Pour Homme;219;117.0;100;edt;Men;spicy;labdanum ceder;vetiver lavender;4.04;Al-Najm;3.07;347;spicy labdanum ceder vetiver lavender edt;41;6;0
156;Rasasi;Blue;36.95;36.95;100;edt;Men;spicy;amber woody;geranium rose coriander pepper jasmine;5.0;hadayiq baris;3.08;122;spicy amber woody geranium rose coriander pepper jasmine edt;60;9;0
157;GIORGIO ARMANI;Eau Pour Homme Reno 2013;361;186.0;50;edt;Men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;4.07;MOON LIGHT;3.08;76;citrus patchouli oakmoss sandalwood cloves lily nutmeg edt;58;8;0
158;LACOSTE;Touch Of Pink;238;95.0;50;edt;Women;floral;woodsymusk base vanilla;jasmine unexpected carrot spicy coriander;4.06;Cute Shop;4.04;59;floral woodsymusk base vanilla jasmine unexpected carrot spicy coriander edt;76;10;1
159;GUESS;Gold;341;119.0;75;edp;Women;floral;sandalwood patchouli amber vetiver sensual musk;jasmine lotus intoxicating seductress rose;4.09;Beautiful Live;4.02;7;floral sandalwood patchouli amber vetiver sensual musk jasmine lotus intoxicating seductress rose edp;101;13;1
161;LACOSTE;Lacoste;368;115.0;100;edt;Men;citrus;cedar woody notes amber vanilla musk;black pepper ginger jasmine almond;4.06;noon;4.02;98.1K;citrus cedar woody notes amber vanilla musk black pepper ginger jasmine almond edt;82;13;1
163;HUGO BOSS;The Scent;535;155.0;100;edp;Women;fruity;cacao;osmanthus;4.05;noon;4.02;98.1K;fruity cacao osmanthus edp;26;4;0
164;JAGUAR;Classic Gold;118;79.95;100;edt;Men;woody;patchoulivanillamusk;orange blossomteak wood;4.07;Star.perfume;3.09;537;woody patchoulivanillamusk orange blossomteak wood edt;54;6;0
165;Franck Olivier;Frank Olivier;139;87.0;75;edp;Women;musk;musk sandalwood vanilla;jasmine ylangylang heliotrope rose;4.07;AMLAQ;3.09;135;musk musk sandalwood vanilla jasmine ylangylang heliotrope rose edp;67;8;0
171;Calvin Klein;Intense Euphoria;290;109.95;100;edt;Men;spicy;labdanum amber patchouli agarwood myrrh;black basil sage cedar vetiver;4.04;noon;4.02;98.1K;spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver edt;80;12;1
173;Calvin Klein;Obsession;231;120.0;125;edt;Men;spicy;amber sandalwood patchouli vanilla musk;brazilian rosewood sage myrrh pine tree nutmeg;3.0;noon;4.02;98.1K;spicy amber sandalwood patchouli vanilla musk brazilian rosewood sage myrrh pine tree nutmeg edt;96;14;1
174;Lattafa;Sheikh Al Shuyukh;63;32.75;50;edp;Unisex;aromatic;vetiver patchouli;lavender sage rosemary;4.08;noon;4.02;98.1K;aromatic vetiver patchouli lavender sage rosemary edp;53;7;0
175;Dolce & Gabbana;The One;100;100.0;75;edp;Women;fruity;tobacco amber cedar;orange blossom ginger cardamom;5.0;Asrar Aljamal;3.09;537;fruity tobacco amber cedar orange blossom ginger cardamom edp;61;9;0
176;Kenzo;World Intense;500;149.75;75;edp;Women;spicy;vanilla;jasmine peony;4.0;Star.perfume;3.09;537;spicy vanilla jasmine peony edp;31;5;0
179;Mariah Carey;Forever;197;126.0;100;edp;Women;floral;musk wood;gardenia tuberose;4.0;perfumes--addresses;4.04;59;floral musk wood gardenia tuberose edp;38;6;0
180;BURBERRY;Brit Splash;278;194.0;100;edt;Men;fresh;moss musk vetiver;cyclamen violet water notes;4.06;Chansles;3.09;33;fresh moss musk vetiver cyclamen violet water notes edt;55;9;0
181;PRADA;Amber Intense;324;321.95;100;edp;Men;spicy;creamy amber;vanilla;4.04;Ryhana Perfume;4.02;25;spicy creamy amber vanilla edp;30;5;0
182;Milton Lloyd;Hawaii London;51;23.0;55;edt;Women;floral;woody notes musk;jasmine rose;4.0;hawas;4.02;9;floral woody notes musk jasmine rose edt;40;7;0
183;Lattafa;Khalis Pure Oudi;68;37.0;100;edp;Unisex;woody;amber cedar guaiac wood musk vanilla;jasmine sandalwood;4.03;noon;4.02;98.1K;woody amber cedar guaiac wood musk vanilla jasmine sandalwood edp;65;10;0
185;DORALL COLLECTION;Oud Arabi;11.35;11.35;100;pdt;Unisex;woody;patchouli sandalwood musk amber;oudh rose guaiac wood jasmine;3.09;Princess of beauty;3.08;467;woody patchouli sandalwood musk amber oudh rose guaiac wood jasmine pdt;71;11;1
186;COACH;Coach;36;8.07;2;edp;Women;floral;cashmeran suede musk;turkish rose gardenia;4.08;top langri;3.07;347;floral cashmeran suede musk turkish rose gardenia edp;53;8;0
187;Mancera;Coco Vanille;446;285.0;120;edp;Women;vanilla;white musk woody notes madagascar vanilla;jasmine ylangylang tiare flower;5.0;AMLAQ;3.09;135;vanilla white musk woody notes madagascar vanilla jasmine ylangylang tiare flower edp;85;11;1
188;BURBERRY;Weekend;197;160.0;100;edp;Women;oriental;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;4.06;AMLAQ;3.09;135;oriental violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth edp;166;14;2
