no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
41,BENTLEY,Azure,387,107.0,100,edt,Men,citrus,cashmere wood tonka bean and orcanox,pimento tea accord lavender and clary sage,4.06,Cute Shop,4.01,538,citrus cashmere wood tonka bean and orcanox pimento tea accord lavender and clary sage,3
42,VERSACE,Dylan Blue,85,20.05,5,edt,Men,citrus,frankincense musk saffron tonka beans,ambroxan black pepper papyrus patchouli violet leaves,4.04,Princess of beauty,4.02,467,citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves,3
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583,204.0,100,edp,Men,vanilla,tonka bean patchouli,vanilla sage,5.0,Parfume-Stor,4.01,319,vanilla tonka bean patchouli vanilla sage,3
46,Laura Mars,Splandid,36,36.0,100,edp,Women,floral,vanilla amber,jasmine geranium neroli and ylangylan,5.0,hadayiq baris,3.08,122,floral vanilla amber jasmine geranium neroli and ylangylan,0
47,GIORGIO ARMANI,Stronger With You,415,170.0,100,edt,Men,vanilla,vanilla chestnut cedar amber wood guaiac wood,pineapple sage melon cinnamon lavender,4.05,hadayiq baris,3.08,122,vanilla vanilla chestnut cedar amber wood guaiac wood pineapple sage melon cinnamon lavender,2
48,CHLOE,Chloe,631,186.0,75,edp,Women,floral,cedar amber,magnolia lilyofthevalley rose,3.05,عالم المشاهير,3.05,75,floral cedar amber magnolia lilyofthevalley rose,1
49,HERMES,Terre D'Hermes,15,9.55,2,edt,Men,citrus,patchouli cedar vetiver and benzoin,pepper and pelargonium,5.0,beautiful lady,3.08,23,citrus patchouli cedar vetiver and benzoin pepper and pelargonium,2
51,VERSACE,Dylan Blue,425,217.85,100,edt,Men,fresh,incense musk tonka bean saffron,ambroxan patchouli black pepper violet leaf papyrus,4.06,noon,4.02,98.1K,fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus,3
53,PACO RABANNE,Invictus,395,210.0,100,edt,Men,citrus,guaiac wood and patchouli heart,ambregris accord and grapefruit zests,4.08,Boutique Wareef,3.08,98,citrus guaiac wood and patchouli heart ambregris accord and grapefruit zests,0
55,DORALL COLLECTION,Scholar,19,9.45,100,edt,Men,floral,patchouli moss woodyamber sandalwood musk dry woods,jasmine peach apple green notes lavender muguet dried fruits,5.0,B.A.G,3.07,14.1K,floral patchouli moss woodyamber sandalwood musk dry woods jasmine peach apple green notes lavender muguet dried fruits,0
56,Calvin Klein,Eternity,131,100.0,100,edt,Men,floral,sandalwood amber musk vetiver and brazilian rosewood,coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley and geranium,4.0,hadayiq baris,3.08,122,floral sandalwood amber musk vetiver and brazilian rosewood coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley and geranium,0
58,PACO RABANNE,Lady Million,535,210.0,80,edp,Women,floral,gardenia,arabic jasmine and african orange flower,4.07,Beauty Ideas,3.09,61,floral gardenia arabic jasmine and african orange flower,0
59,Giorgio Beverly Hills,giorgio,120,120.0,90,edt,Women,floral,sandalwood patchouli vanilla amber cedar oakmoss musk,ylangylang seductive tuberose gardenia jasmine rose orchid,5.0,Faces,3.09,61,floral sandalwood patchouli vanilla amber cedar oakmoss musk ylangylang seductive tuberose gardenia jasmine rose orchid,1
60,Guerlain,Idylle,430,256.0,100,edp,Women,floral,amber accord and sandalwood,magnolia jasmine and ylang ylang,4.03,MOON LIGHT,3.09,33,floral amber accord and sandalwood magnolia jasmine and ylang ylang,0
61,Yves Saint Laurent,Libre,655,410.0,90,edp,Women,floral,amber vanilla ambergris musk,orange blossom jasmine lavender,4.09,Parfume-Stor,4.02,25,floral amber vanilla ambergris musk orange blossom jasmine lavender,0
62,Jean Paul GAULTIER,Scandal,400,288.0,50,edp,Women,floral,patchouli beeswax caramel licorice,honey gardenia jasmine orange blossom peach,5.0,Shopping life,4.02,20,floral patchouli beeswax caramel licorice honey gardenia jasmine orange blossom peach,0
63,BURBERRY,Mr. Burberry,515,179.95,100,edp,Men,woody,patchouli amber sandalwood vetiver benzoin and cinnamon,lavender cedar nutmeg,4.05,noon,4.02,98.1K,woody patchouli amber sandalwood vetiver benzoin and cinnamon lavender cedar nutmeg,2
64,Ajmal,Raindrops,97,47.95,50,edp,Women,fruity,floral ambery woody,animalistic floral,4.07,noon,4.02,98.1K,fruity floral ambery woody animalistic floral,0
66,BURBERRY,Mr. Burberry,295,200.0,100,edp,Men,woody,patchouli amber sandalwood vetiver benzoin cinnamon,lavender cedar nutmeg,5.0,Star.perfume,3.09,537,woody patchouli amber sandalwood vetiver benzoin cinnamon lavender cedar nutmeg,2
67,VERSACE,Dylan Blue,85,20.05,5,edt,Men,citrus,frankincense musk saffron tonka beans,ambroxan black pepper papyrus patchouli violet leaves,4.04,Princess of beauty,3.05,467,citrus frankincense musk saffron tonka beans ambroxan black pepper papyrus patchouli violet leaves,3
69,UNITED COLORS OF BENETTON,Cold,51,27.95,100,edt,Women,spicy,amber frankincense musk patchouli vanilla vetiver,coriander cumin pimiento,4.0,top langri,4.02,347,spicy amber frankincense musk patchouli vanilla vetiver coriander cumin pimiento,2
70,YSL,Supreme Bouquet,1215,699.0,75,edp,Unisex,woody,amber musk and patchouli,tuberose jasmine and ylangylang,5.0,PARFUM.1990,3.05,244,woody amber musk and patchouli tuberose jasmine and ylangylang,1
71,TOMMY HILFIGER,Tommy,340,129.0,100,edt,Men,spicy,amber cactus and cotton,cranberry rose and apple,4.04,AMLAQ,3.09,135,spicy amber cactus and cotton cranberry rose and apple,0
72,RALPH LAUREN,Safari,541,178.0,125,edt,Men,woody,leather sandalwood amber patchouli musk oakmoss cedar,cyclamen carnation cinnamon tarragon jasmine rose,3.05,Pinch Of Perfum,3.05,75,woody leather sandalwood amber patchouli musk oakmoss cedar cyclamen carnation cinnamon tarragon jasmine rose,1
73,EMPORIO ARMANI,Stronger With You,415,175.85,100,edt,Men,floral,amberwood cedar chestnut vanilla,melon pineapple sage,4.05,flower,3.08,66,floral amberwood cedar chestnut vanilla melon pineapple sage,0
74,TED LAPIDUS,Rumba Passion Ted Lapidus,140,95.0,100,edt,Women,floral,patchouli vanilla and honey,jasmine and rose,5.0,Beauty Gallery,3.07,59,floral patchouli vanilla and honey jasmine and rose,1
75,HUGO BOSS,Dark Blue,159,129.0,75,edt,Men,citrus,benzoin olibanum patchouli and suede,pelargonium cypress and sage,4.05,Diorworld,3.06,30,citrus benzoin olibanum patchouli and suede pelargonium cypress and sage,2
76,VERSACE,Dylan Blue,425,217.85,100,edt,Men,fresh,incense musk tonka bean saffron,ambroxan patchouli black pepper violet leaf papyrus,4.06,noon,4.02,98.1K,fresh incense musk tonka bean saffron ambroxan patchouli black pepper violet leaf papyrus,3
77,BOUCHERON,Quatre,462,169.75,100,edp,Women,floral,caramel cashmere vanilla white musk,apple jasmine fishing rose,4.09,noon,4.02,98.1K,floral caramel cashmere vanilla white musk apple jasmine fishing rose,0
78,DORALL COLLECTION,Molto Carina,27,8.55,100,edt,Women,woody,musk lactone woody amber,tropical fruits peach jasmin water,4.0,B.A.G,3.07,14.1K,woody musk lactone woody amber tropical fruits peach jasmin water,2
79,armani,Stronger With You Intensely,457,336.0,100,edp,Men,sweet aromatic,ambery woods,vanilla,4.08,flower,3.09,537,sweet aromatic ambery woods vanilla,0
80,PACO RABANNE,1 Million,395,173.0,100,edt,Men,woody,indian patchouli amber woody notes and leather,rose absolute musk and cinnamon bark,3.08,Al-Najm,3.07,347,woody indian patchouli amber woody notes and leather rose absolute musk and cinnamon bark,2
81,VALENTINO,Valentina,500,241.0,80,edp,Women,floral,virginia cedarvanillaamber,strawberrytuberoseafrican orange flowerjasmine,5.0,top langri,3.07,347,floral virginia cedarvanillaamber strawberrytuberoseafrican orange flowerjasmine,0
82,Ard Al Zaafaran,Oud 24 Hours,47,47.0,100,edp,Unisex,fresh,amber incense sandalwood patchouli and agarwood oud,spicy notes fruity notes jasmine gardenia and ylangylang,4.0,Attractive perfume,3.05,244,fresh amber incense sandalwood patchouli and agarwood oud spicy notes fruity notes jasmine gardenia and ylangylang,1
87,Guerlain,Ideal,560,223.0,100,edp,Men,fruity,leather sandalwood tonka beans,bulgarian rose cherry incense vanilla,4.08,Majestueuse,4.08,21,fruity leather sandalwood tonka beans bulgarian rose cherry incense vanilla,3
89,ELIE SAAB,Girl of Now Shine,504,192.0,90,edp,Women,arabian,iris jasmine sweet vanilla and patchouli,roasted almonds and ylangylang,5.0,flower,4.02,98,arabian iris jasmine sweet vanilla and patchouli roasted almonds and ylangylang,0
90,NARCISO RODRIGUEZ,Narciso Rodriguez,436,215.75,50,edp,Women,spicy,patchouli sandalwood,amber musk,4.03,noon,4.02,98.1K,spicy patchouli sandalwood amber musk,1
91,Ajmal,Raindrops,97,47.95,50,edp,Women,fruity,floral ambery woody,animalistic floral,4.07,noon,4.02,98.1K,fruity floral ambery woody animalistic floral,0
92,Roberto Cavalli,Uomo,349,126.0,100,edt,Men,floral,cedar,honey lavender,5.0,noon,4.02,98.1K,floral cedar honey lavender,0
93,MONTBLANC,Emblem Absolu,395,116.0,100,edt,Men,spicy,patchouli vetiver and moss,pink pepper lavender fruits and honey,4.07,Modon,3.09,537,spicy patchouli vetiver and moss pink pepper lavender fruits and honey,2
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85.0,100,edt,Men,spicy,dark chocolate cashmeran coumarin and patchouli,basil verbena and lavender,4.08,Al-Najm,3.07,347,spicy dark chocolate cashmeran coumarin and patchouli basil verbena and lavender,0
99,LE CHAMEAU,Genesis Oud Malaki,73,73.0,100,edt,Unisex,arabian,musk and vetiver,agarwood apple patchouli and amber,2.0,Queen Line,3.08,81,arabian musk and vetiver agarwood apple patchouli and amber,1
100,AVON,Tomorrow,130,70.0,50,edp,Women,floral,powdery floral woody balsamic rose,musk,4.05,Tiffany,3.07,54,floral powdery floral woody balsamic rose musk,0
101,PACO RABANNE,Invictus,395,210.0,100,edt,Men,citrus,guaiac wood and patchouli heart,ambregris accord and grapefruit zests,4.08,Boutique Wareef,3.08,98,citrus guaiac wood and patchouli heart ambregris accord and grapefruit zests,0
104,DORALL COLLECTION,Nashwa,43,14.02,100,edt,Women,woody,amber patchouli vanilla musk sandalwood,magnolia gardenia lily of the valley freesia jasmine,5.0,B.A.G,3.07,14.1K,woody amber patchouli vanilla musk sandalwood magnolia gardenia lily of the valley freesia jasmine,1
106,HUGO BOSS,XX,295,158.65,100,edt,Women,fruity,amber musk sandalwood,jasmine rice rose,4.05,Star.perfume,3.09,537,fruity amber musk sandalwood jasmine rice rose,1
108,Dunhill,Desire,230,84.95,100,edt,Men,fresh,vanilla musk and labdanum,rose teakwood and patchouli,4.02,hadayiq baris,3.08,122,fresh vanilla musk and labdanum rose teakwood and patchouli,1
109,Dior,Sauvage,1176,240.85,100,edt,Men,fresh,cedar labdanum ambroxan,geranium lavender sichuan pepper elemi pink pepper vetiver patchouli,3.08,ثروة الجمال,3.09,61,fresh cedar labdanum ambroxan geranium lavender sichuan pepper elemi pink pepper vetiver patchouli,2
110,TRUSSARDI,My Land,300,164.0,100,edt,Men,woody,leather vetiver and tonka bean,lavender violet and calone,4.05,Beautiful Live,412.0,7,woody leather vetiver and tonka bean lavender violet and calone,3
111,Dupont,Passenger,95,95.0,100,edt,Men,woody,guaiac wood benzoin,ginger cardamom pink pepper and lavender,4.05,Beautiful Live,412.0,7,woody guaiac wood benzoin ginger cardamom pink pepper and lavender,2
112,ANGEL SCHLESSER,Essential,287,103.95,100,edp,Women,oriental,sandal wood musk and vetiver,peony violet freesia and bulgarian rose,4.06,noon,4.02,98.1K,oriental sandal wood musk and vetiver peony violet freesia and bulgarian rose,1
113,Calvin Klein,Euphoria,220,91.95,100,edt,Men,woody,amber patchouli brazilian redwood suede,black basil sage cedar,5.0,noon,4.02,98.1K,woody amber patchouli brazilian redwood suede black basil sage cedar,2
116,DORALL COLLECTION,Classic Black,9,8.08,100,edt,Men,fresh,chocolatecashmere wood patchouli tonka bean,basil verbena  lavender,4.0,the beauty,3.09,538,fresh chocolatecashmere wood patchouli tonka bean basil verbena  lavender,3
122,CHOPARD,Wish,182,96.0,75,edp,Women,oriental,patchouli caramel amber sandalwood vanilla,honey milk lily of the valley orchid violet jasmine heliotrope osmanthus and magnolia,4.08,Dior Fragrances,3.09,69,oriental patchouli caramel amber sandalwood vanilla honey milk lily of the valley orchid violet jasmine heliotrope osmanthus and magnolia,1
123,PACO RABANNE,Olympêa,455,150.0,80,edp,Women,floral,sandalwood cashmere and ambergris,vanilla,4.05,Asrar Aljamal,3.08,61,floral sandalwood cashmere and ambergris vanilla,0
126,PACO RABANNE,Olympea,458,134.0,80,edp,Women,floral,cashmere sandalwood ambergris,salted vanilla,4.0,Number One,4.02,1.3K,floral cashmere sandalwood ambergris salted vanilla,0
127,jennifer lopez,Live,161,104.0,100,edp,Women,fruity,tonka bean sensual rich creamy buttery lactonic caramel,uity red currant blossoms violet,5.0,Star.perfume,3.09,537,fruity tonka bean sensual rich creamy buttery lactonic caramel uity red currant blossoms violet,0
129,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85.0,100,edt,Men,spicy,dark chocolate cashmeran coumarin and patchouli,basil verbena and lavender,4.08,Al-Najm,3.07,347,spicy dark chocolate cashmeran coumarin and patchouli basil verbena and lavender,0
130,Calvin Klein,Euphoria Intense,440,99.0,100,edt,Men,spicy,cashmere woods madagascar vanilla burnt amber and australian sandalwood,black basil sage cedar vetiver,4.02,Al-Najm,3.07,347,spicy cashmere woods madagascar vanilla burnt amber and australian sandalwood black basil sage cedar vetiver,2
133,BVLGARI,Petits Et Mamans,327,197.75,100,edt,Women,floral,iris and vanilla,white peach,4.08,Tiffany,4.02,75,floral iris and vanilla white peach,0
135,TRUSSARDI,My Name,308,228.0,50,edp,Women,floral,dry amber vanilla,lilac and musk,4.06,Beautiful Live,4.02,7,floral dry amber vanilla lilac and musk,0
137,Calvin Klein,Intense Euphoria,290,109.95,100,edt,Men,spicy,labdanum amber patchouli agarwood myrrh,black basil sage cedar vetiver,4.04,noon,4.02,98.1K,spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver,2
139,HERMES,Terre D' Hermes,474,173.0,100,edt,Men,citrus,woody notes patchouli and cedar,geranium,3.09,Boutique Wareef,4.02,98.1K,citrus woody notes patchouli and cedar geranium,2
143,Roberto Cavalli,Women,430,103.0,75,edp,Women,arabian,benzointonka beansvanilla,orange tree blossom,5.0,rich&light,3.08,69,arabian benzointonka beansvanilla orange tree blossom,0
144,LALIQUE,Lalique,541,249.0,100,edp,Women,woody,white musksandalwoodvanilla,blackberrycassispear,4.04,Faces,3.09,61,woody white musksandalwoodvanilla blackberrycassispear,2
145,Franck Olivier,Oud Touch,93,93.0,100,edp,Men,woody,amber musk and vanilla,violet patchouli rose jasmine and olibanum,5.0,Faces,3.09,61,woody amber musk and vanilla violet patchouli rose jasmine and olibanum,1
146,TOMMY HILFIGER,Tommy,340,130.0,100,edt,Men,spicy,amber cactus cotton plant blossom,apple cranberries rose,5.0,Faces,3.09,61,spicy amber cactus cotton plant blossom apple cranberries rose,0
147,Elizabeth Arden,5th Avenue,155,93.0,75,edp,Women,floral,amber tibetan musk sandalwood iris and vanilla,bulgarian pink violet ylangylang jasmine indian tuberose peach carnation and nutmeg,4.0,Ryhana Perfume,4.02,25,floral amber tibetan musk sandalwood iris and vanilla bulgarian pink violet ylangylang jasmine indian tuberose peach carnation and nutmeg,1
148,ELIE SAAB,Girl Of Now,561,250.0,90,edp,Women,floral,patchoulicashmerantonka bean almod milk,orange blossommagnolialmond,4.05,Beuatyone1,3.05,98,floral patchoulicashmerantonka bean almod milk orange blossommagnolialmond,0
149,PACO RABANNE,One Million,426,287.95,200,edt,Men,woody,blonde leather patchouli white woods amber,rose absolute and cinnamon spices,5.0,noon100  % original genuine product,4.02,98.1K,woody blonde leather patchouli white woods amber rose absolute and cinnamon spices,2
151,cacharel,Noa,299,154.75,100,edt,Women,fresh,woodsy transparent with coffee incense touches,white flowers ylangylang rose,4.05,Star.perfume,3.09,537,fresh woodsy transparent with coffee incense touches white flowers ylangylang rose,1
152,GUESS,Seductive Homme,134,91.75,100,edt,Men,spicy,musk sandalwood patchouli amber,vetiver violet leaf orchid,4.05,Star.perfume,3.09,537,spicy musk sandalwood patchouli amber vetiver violet leaf orchid,1
153,Al Fakhr,Ameer Al Oud Khususi,28,12.0,100,edp,Unisex,woody sweet,sandalwood cedarwood,black pepper cardamom,4.01,kikup,3.09,425,woody sweet sandalwood cedarwood black pepper cardamom,2
155,Givenchy,Pour Homme,219,117.0,100,edt,Men,spicy,labdanum ceder,vetiver lavender,4.04,Al-Najm,3.07,347,spicy labdanum ceder vetiver lavender,2
156,Rasasi,Blue,36.95,36.95,100,edt,Men,spicy,amber woody,geranium rose coriander pepper jasmine,5.0,hadayiq baris,3.08,122,spicy amber woody geranium rose coriander pepper jasmine,2
157,GIORGIO ARMANI,Eau Pour Homme Reno 2013,361,186.0,50,edt,Men,citrus,patchouli oakmoss and sandalwood,cloves lily and nutmeg,4.07,MOON LIGHT,3.08,76,citrus patchouli oakmoss and sandalwood cloves lily and nutmeg,1
158,LACOSTE,Touch Of Pink,238,95.0,50,edt,Women,floral,woodsymusk base vanilla,jasmine unexpected carrot and spicy coriander,4.06,Cute Shop,4.04,59,floral woodsymusk base vanilla jasmine unexpected carrot and spicy coriander,0
159,GUESS,Gold,341,119.0,75,edp,Women,floral,sandalwood patchouli amber vetiver and sensual musk,jasmine lotus and intoxicating seductress rose,4.09,Beautiful Live,4.02,7,floral sandalwood patchouli amber vetiver and sensual musk jasmine lotus and intoxicating seductress rose,1
161,LACOSTE,Lacoste,368,115.0,100,edt,Men,citrus,cedar woody notes amber vanilla and musk,black pepper ginger jasmine and almond,4.06,noon,4.02,98.1K,citrus cedar woody notes amber vanilla and musk black pepper ginger jasmine and almond,2
163,HUGO BOSS,The Scent,535,155.0,100,edp,Women,fruity,cacao,osmanthus,4.05,noon,4.02,98.1K,fruity cacao osmanthus,0
164,JAGUAR,Classic Gold,118,79.95,100,edt,Men,woody,patchoulivanillamusk,orange blossomteak wood,4.07,Star.perfume,3.09,537,woody patchoulivanillamusk orange blossomteak wood,0
165,Franck Olivier,Frank Olivier,139,87.0,75,edp,Women,musk,musk sandalwood vanilla,jasmine ylangylang heliotrope rose,4.07,AMLAQ,3.09,135,musk musk sandalwood vanilla jasmine ylangylang heliotrope rose,1
171,Calvin Klein,Intense Euphoria,290,109.95,100,edt,Men,spicy,labdanum amber patchouli agarwood myrrh,black basil sage cedar vetiver,4.04,noon,4.02,98.1K,spicy labdanum amber patchouli agarwood myrrh black basil sage cedar vetiver,2
173,Calvin Klein,Obsession,231,120.0,125,edt,Men,spicy,amber sandalwood patchouli vanilla and musk,brazilian rosewood sage myrrh pine tree and nutmeg,3.0,noon,4.02,98.1K,spicy amber sandalwood patchouli vanilla and musk brazilian rosewood sage myrrh pine tree and nutmeg,1
174,Lattafa,Sheikh Al Shuyukh,63,32.75,50,edp,Unisex,aromatic,vetiver patchouli,lavender sage rosemary,4.08,noon,4.02,98.1K,aromatic vetiver patchouli lavender sage rosemary,2
175,Dolce & Gabbana,The One,100,100.0,75,edp,Women,fruity,tobacco amber cedar,orange blossom ginger cardamom,5.0,Asrar Aljamal,3.09,537,fruity tobacco amber cedar orange blossom ginger cardamom,0
176,Kenzo,World Intense,500,149.75,75,edp,Women,spicy,vanilla,jasmine peony,4.0,Star.perfume,3.09,537,spicy vanilla jasmine peony,0
179,Mariah Carey,Forever,197,126.0,100,edp,Women,floral,musk wood,gardenia tuberose,4.0,perfumes--addresses,4.04,59,floral musk wood gardenia tuberose,0
180,BURBERRY,Brit Splash,278,194.0,100,edt,Men,fresh,moss musk vetiver,cyclamen violet water notes,4.06,Chansles,3.09,33,fresh moss musk vetiver cyclamen violet water notes,2
181,PRADA,Amber Intense,324,321.95,100,edp,Men,spicy,creamy amber,vanilla,4.04,Ryhana Perfume,4.02,25,spicy creamy amber vanilla,1
182,Milton Lloyd,Hawaii London,51,23.0,55,edt,Women,floral,woody notes and musk,jasmine and rose,4.0,hawas,4.02,9,floral woody notes and musk jasmine and rose,1
183,Lattafa,Khalis Pure Oudi,68,37.0,100,edp,Unisex,woody,amber cedar guaiac wood musk vanilla,jasmine sandalwood,4.03,noon,4.02,98.1K,woody amber cedar guaiac wood musk vanilla jasmine sandalwood,1
185,DORALL COLLECTION,Oud Arabi,11.35,11.35,100,pdt,Unisex,woody,patchouli sandalwood musk amber,oudh rose guaiac wood jasmine,3.09,Princess of beauty,3.08,467,woody patchouli sandalwood musk amber oudh rose guaiac wood jasmine,1
186,COACH,Coach,36,8.07,2,edp,Women,floral,cashmeran suede musk,turkish rose gardenia,4.08,top langri,3.07,347,floral cashmeran suede musk turkish rose gardenia,0
187,Mancera,Coco Vanille,446,285.0,120,edp,Women,vanilla,white musk woody notes madagascar vanilla,jasmine ylangylang tiare flower,5.0,AMLAQ,3.09,135,vanilla white musk woody notes madagascar vanilla jasmine ylangylang tiare flower,1
188,BURBERRY,Weekend,197,160.0,100,edp,Women,oriental,violet root iris nectarine peach blossom rose hip red cyclamen and blue hyacinth,violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth,4.06,AMLAQ,3.09,135,oriental violet root iris nectarine peach blossom rose hip red cyclamen and blue hyacinth violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth,0
191,AMOUAGE,Gold,1376,904.85,100,edp,Women,woody,ambergris civet musk cedar wood sandalwood,myrrh orris jasmine,4.04,Parvant Store,3.08,76,woody ambergris civet musk cedar wood sandalwood myrrh orris jasmine,1
192,Givenchy,Gentlemen Only,627,260.0,100,edt,Men,woody,skin accord and tonka bean,cedar wood patchouli heart and leather,4.0,Faces,3.09,61,woody skin accord and tonka bean cedar wood patchouli heart and leather,3
193,JAGUAR,Classic Amber,87,85.0,100,edt,Men,arabian,cedar wood patchouli vanilla leather vetiver labdanum and musk,cinnamonblack pepperappleorange blossoms and elemi resin,4.03,Abu Al Tayyeb Perfumes,3.09,33,arabian cedar wood patchouli vanilla leather vetiver labdanum and musk cinnamonblack pepperappleorange blossoms and elemi resin,2
194,AIGNER,Debut,220,143.75,100,edp,Women,citrus,patchouli cedar vanilla white musk and oak moss,luminous orange blossom water lily jasmine and sunflower seed,4.05,noon,4.02,98.1K,citrus patchouli cedar vanilla white musk and oak moss luminous orange blossom water lily jasmine and sunflower seed,0
